,Country,Code,Year,Continent,Gender,Percentage,Longitude,Latitude
474,Tunisia,TUN,2019,,Males,47.79999924,9,34
475,Tunisia,TUN,2019,,Females,2.099999905,9,34
476,Turkey,TUR,2019,,Males,42.90000153,35,39
477,Turkey,TUR,2019,,Females,18.89999962,35,39
478,Turkmenistan,TKM,2019,,Males,11.10000038,60,40
479,Turkmenistan,TKM,2019,,Females,0.5,60,40
480,Turks and Caicos Islands,TCA,2019,,Males,,-71.5833,21.75
481,Turks and Caicos Islands,TCA,2019,,Females,,-71.5833,21.75
482,Tuvalu,TUV,2019,,Males,50.29999924,178,-8
483,Tuvalu,TUV,2019,,Females,21.70000076,178,-8
484,Uganda,UGA,2019,,Males,13.69999981,32,1
485,Uganda,UGA,2019,,Females,4,32,1
486,Ukraine,UKR,2019,,Males,40.70000076,32,49
487,Ukraine,UKR,2019,,Females,11.60000038,32,49
488,United Arab Emirates,ARE,2019,,Males,,54,24
489,United Arab Emirates,ARE,2019,,Females,,54,24
490,United Kingdom,GBR,2019,,Males,17.89999962,-2,54
491,United Kingdom,GBR,2019,,Females,14.19999981,-2,54
492,United States,USA,2019,,Males,28.89999962,-97,38
493,United States,USA,2019,,Females,17.79999924,-97,38
494,United States Virgin Islands,VIR,2019,,Males,,-64.8333,18.3333
495,United States Virgin Islands,VIR,2019,,Females,,-64.8333,18.3333
496,Upper middle income,,2019,,Males,41.55661392,0,0
497,Upper middle income,,2019,,Females,5.161786079,0,0
498,Upper-middle-income countries,,2019,,Males,,0,0
499,Upper-middle-income countries,,2019,,Females,,0,0
500,Uruguay,URY,2019,,Males,25.10000038,-56,-33
501,Uruguay,URY,2019,,Females,18.79999924,-56,-33
502,Uzbekistan,UZB,2019,,Males,34.5,64,41
503,Uzbekistan,UZB,2019,,Females,1.100000024,64,41
504,Vanuatu,VUT,2019,,Males,33.70000076,167,-16
505,Vanuatu,VUT,2019,,Females,2.700000048,167,-16
506,Vatican,VAT,2019,,Males,,12.45,41.9
507,Vatican,VAT,2019,,Females,,12.45,41.9
508,Venezuela,VEN,2019,,Males,,-66,8
509,Venezuela,VEN,2019,,Females,,-66,8
510,Vietnam,VNM,2019,,Males,47.79999924,106,16
511,Vietnam,VNM,2019,,Females,2.200000048,106,16
512,Wallis and Futuna,WLF,2019,,Males,,-176.2,-13.3
513,Wallis and Futuna,WLF,2019,,Females,,-176.2,-13.3
514,Western Sahara,ESH,2019,,Males,,-13,24.5
515,Western Sahara,ESH,2019,,Females,,-13,24.5
516,World,OWID_WRL,2019,,Males,37.96463776,0,0
517,World,OWID_WRL,2019,,Females,8.967571259,0,0
518,Yemen,YEM,2019,,Males,32.59999847,48,15
519,Yemen,YEM,2019,,Females,8.300000191,48,15
520,Zambia,ZMB,2019,,Males,25.29999924,30,-15
521,Zambia,ZMB,2019,,Females,3.900000095,30,-15
522,Zimbabwe,ZWE,2019,,Males,22.5,30,-20
523,Zimbabwe,ZWE,2019,,Females,1.600000024,30,-20
