,Country,Code,Year,Continent,Gender,Percentage,Longitude,Latitude
107,Curacao,CUW,2019,,Females,,0,0
108,Cyprus,CYP,2019,,Males,47.70000076,33,35
109,Cyprus,CYP,2019,,Females,23.20000076,33,35
110,Czechia,CZE,2019,,Males,35.20000076,15.5,49.75
111,Czechia,CZE,2019,,Females,26.5,15.5,49.75
112,Democratic Republic of Congo,COD,2019,,Males,22.89999962,25,0
113,Democratic Republic of Congo,COD,2019,,Females,3.099999905,25,0
114,Denmark,DNK,2019,,Males,18.39999962,10,56
115,Denmark,DNK,2019,,Females,17.79999924,10,56
116,Djibouti,DJI,2019,,Males,,43,11.5
117,Djibouti,DJI,2019,,Females,,43,11.5
118,Dominica,DMA,2019,,Males,,-61.3333,15.4167
119,Dominica,DMA,2019,,Females,,-61.3333,15.4167
120,Dominican Republic,DOM,2019,,Males,15,-70.6667,19
121,Dominican Republic,DOM,2019,,Females,6.800000191,-70.6667,19
122,East Asia and Pacific,,2019,,Males,49.48209763,0,0
123,East Asia and Pacific,,2019,,Females,3.522330284,0,0
124,Ecuador,ECU,2019,,Males,18.89999962,-77.5,-2
125,Ecuador,ECU,2019,,Females,4.300000191,-77.5,-2
126,Egypt,EGY,2019,,Males,48.29999924,30,27
127,Egypt,EGY,2019,,Females,0.400000006,30,27
128,El Salvador,SLV,2019,,Males,14.69999981,-88.9167,13.8333
129,El Salvador,SLV,2019,,Females,1.799999952,-88.9167,13.8333
130,Equatorial Guinea,GNQ,2019,,Males,,10,2
131,Equatorial Guinea,GNQ,2019,,Females,,10,2
132,Eritrea,ERI,2019,,Males,15.10000038,39,15
133,Eritrea,ERI,2019,,Females,0.200000003,39,15
134,Estonia,EST,2019,,Males,37.40000153,26,59
135,Estonia,EST,2019,,Females,23.5,26,59
136,Eswatini,SWZ,2019,,Males,16.70000076,31.5,-26.5
137,Eswatini,SWZ,2019,,Females,1.899999976,31.5,-26.5
138,Ethiopia,ETH,2019,,Males,9,38,8
139,Ethiopia,ETH,2019,,Females,1.399999976,38,8
140,Europe,,2019,,Males,,0,0
141,Europe,,2019,,Females,,0,0
142,Europe and Central Asia,,2019,,Males,33.35464096,0,0
