Country,Code,Year,Daily smoking prevalence(2012),Longitude,Latitude
Nicaragua,NIC,2010,10.7,-85,13
Niger,NER,2010,4.9000001,8,16
Nigeria,NGA,2010,4.0999999,8,10
North Korea,PRK,2010,23.799999,127,40
North Macedonia,MKD,2010,36.799999,22,41.8333
Norway,NOR,2010,17.5,10,62
Oman,OMN,2010,8.3999996,57,21
Pakistan,PAK,2010,15.7,70,30
Palestine,PSE,2010,20.799999,35.25,32
Panama,PAN,2010,8.1999998,-80,9
Papua New Guinea,PNG,2010,38.200001,147,-6
Paraguay,PRY,2010,11.7,-58,-23
Peru,PER,2010,11.1,-76,-10
Philippines,PHL,2010,22.5,122,13
Poland,POL,2010,27.9,20,52
Portugal,PRT,2010,21.799999,-8,39.5
Qatar,QAT,2010,18.1,51.25,25.5
Romania,ROU,2010,26.6,25,46
Russia,RUS,2010,31.5,100,60
Rwanda,RWA,2010,8,30,-2
Saint Lucia,LCA,2010,10.2,-61.1333,13.8833
Saint Vincent and the Grenadines,VCT,2010,9,-61.2,13.25
Samoa,WSM,2010,22.4,-172.3333,-13.5833
Sao Tome and Principe,STP,2010,3.2,7,1
Saudi Arabia,SAU,2010,14.6,45,25
Senegal,SEN,2010,7.0999999,-14,14
Serbia,SRB,2010,27,21,44
Seychelles,SYC,2010,15.9,55.6667,-4.5833
Sierra Leone,SLE,2010,17.6,-11.5,8.5
Singapore,SGP,2010,13.2,103.8,1.3667
Slovakia,SVK,2010,22.1,19.5,48.6667
Slovenia,SVN,2010,22,15,46
Solomon Islands,SLB,2010,26.799999,159,-8
Somalia,SOM,2010,9.6999998,49,10
South Africa,ZAF,2010,14.6,24,-29
South Korea,KOR,2010,24.4,127.5,37
Spain,ESP,2010,25,-4,40
Sri Lanka,LKA,2010,11.8,81,7
Sudan,SDN,2010,5.5999999,30,15
Suriname,SUR,2010,6.1999998,-56,4
Sweden,SWE,2010,13,15,62
Switzerland,CHE,2010,19.6,8,47
Syria,SYR,2010,17.200001,38,35
Taiwan,TWN,2010,17.5,121,23.5
Tajikistan,TJK,2010,15.6,71,39
Tanzania,TZA,2010,9.5,35,-6
Thailand,THA,2010,19.5,100,15
Timor,TLS,2010,30.1,125.5167,-8.55
Togo,TGO,2010,6.0999999,1.1667,8
Tonga,TON,2010,34.299999,-175,-20
Trinidad and Tobago,TTO,2010,17.200001,-61,11
Tunisia,TUN,2010,24.299999,9,34
Turkey,TUR,2010,27.5,35,39
Turkmenistan,TKM,2010,19.799999,60,40
Uganda,UGA,2010,8.1000004,32,1
Ukraine,UKR,2010,26.799999,32,49
United Arab Emirates,ARE,2010,15.3,54,24
United Kingdom,GBR,2010,20.4,-2,54
United States,USA,2010,15.9,-97,38
Uruguay,URY,2010,22.200001,-56,-33
Uzbekistan,UZB,2010,10.8,64,41
Vanuatu,VUT,2010,17.1,167,-16
Venezuela,VEN,2010,16.4,-66,8
Vietnam,VNM,2010,20.200001,106,16
World,OWID_WRL,2010,18.6,0,0
Yemen,YEM,2010,13.7,48,15
Zambia,ZMB,2010,11.3,30,-15
Zimbabwe,ZWE,2010,11.2,30,-20
