Country,Code,Year,Males,Females,Population (historical estimates),Continent,Longitude,Latitude
Honduras,HND,2020,,,10121762,,-86.5,15
Hong Kong,HKG,2020,,,7500955,,114.1667,22.25
Hungary,HUN,2020,35.79999924,27.79999924,9750571,,20,47
Iceland,ISL,2020,11.89999962,12,366682,,-18,65
India,IND,2020,41.29999924,13,1396387072,,77,20
Indonesia,IDN,2020,71.40000153,3.700000048,271857984,,120,-5
Iran,IRN,2020,24.10000038,3.099999905,87290192,,53,32
Iraq,IRQ,2020,35.09999847,1.799999952,42556988,,44,33
Ireland,IRL,2020,22.5,19,4946123,,-8,53
Isle of Man,IMN,2020,,,84063,,-4.55,54.23
Israel,ISR,2020,28.89999962,13.5,8757487,,34.75,31.5
Italy,ITA,2020,26.60000038,19.5,59500576,,12.8333,42.8333
Jamaica,JAM,2020,15,3.799999952,2820438,,-77.5,18.25
Japan,JPN,2020,30.10000038,10,125244760,,138,36
Jersey,JEY,2020,,,108332,,-2.13,49.21
Jordan,JOR,2020,56.79999924,12.80000019,10928723,,36,31
Kazakhstan,KAZ,2020,39.59999847,6.699999809,18979250,,68,48
Kenya,KEN,2020,19.5,2.700000048,51985780,,38,1
Kiribati,KIR,2020,53.90000153,27.29999924,126473,,173,1.4167
Kosovo,OWID_KOS,2020,,,1670702,,0,0
Kuwait,KWT,2020,33.5,2.200000048,4360451,,47.6581,29.3375
Kyrgyzstan,KGZ,2020,48,2.799999952,6424880,,75,41
Laos,LAO,2020,53.29999924,10.30000019,7319397,,105,18
Latin America and Caribbean,,2020,18.27187157,8.552474976,,,0,0
Latvia,LVA,2020,50.29999924,23.70000076,1897057,,25,57
Lebanon,LBN,2020,47.5,28.89999962,5662924,,35.8333,33.8333
Lesotho,LSO,2020,43.09999847,5.400000095,2254104,,28.5,-29.5
Liberia,LBR,2020,14.30000019,2,5087591,,-9.5,6.5
Libya,LBY,2020,,,6653946,,17,25
Liechtenstein,LIE,2020,,,38783,,9.5333,47.1667
Lithuania,LTU,2020,42.09999847,21.79999924,2820269,,24,56
Low and middle income,,2020,39.41698456,6.836937428,,,0,0
Low income,,2020,21.04286194,3.854782343,,,0,0
Low-income countries,,2020,,,680258922,,0,0
Lower middle income,,2020,40.48725128,8.793181419,,,0,0
Lower-middle-income countries,,2020,,,3369707355,,0,0
Luxembourg,LUX,2020,22.39999962,19.79999924,630401,,6.1667,49.75
Macao,MAC,2020,,,676287,,113.55,22.1667
Madagascar,MDG,2020,42.70000076,12.80000019,28225182,,47,-20
Malawi,MWI,2020,17.5,4.099999905,19377058,,34,-13.5
Malaysia,MYS,2020,43.79999924,1.100000024,33199988,,112.5,2.5
Maldives,MDV,2020,44.40000153,6,514451,,73,3.25
Mali,MLI,2020,15.60000038,1,21224042,,-4,17
Malta,MLT,2020,26.39999962,21.60000038,515364,,14.5833,35.8333
Marshall Islands,MHL,2020,48.70000076,8.300000191,43437,,168,9
Martinique,MTQ,2020,,,370399,,-61,14.6667
Mauritania,MRT,2020,19.29999924,2.099999905,4498605,,-12,20
Mauritius,MUS,2020,37.29999924,3,1297830,,57.55,-20.2833
Mayotte,MYT,2020,,,305591,,45.1667,-12.8333
